"Reference","Value","Footprint","Datasheet"
"C16","100nF","Capacitor_SMD:C_0805_2012Metric",""
"C_33IN?","100nF","Capacitor_SMD:C_0805_2012Metric",""
"C_33OUT1","100nF","Capacitor_SMD:C_0805_2012Metric",""
"C_33OUT2","10uF","Capacitor_SMD:C_1206_3216Metric",""
"C_BAT1A?","10uF","Capacitor_SMD:C_1206_3216Metric",""
"C_BAT1B?","100nF","Capacitor_SMD:C_0805_2012Metric",""
"C_BAT2A?","10uF","Capacitor_SMD:C_1206_3216Metric",""
"C_BAT2B?","100nF","Capacitor_SMD:C_0805_2012Metric",""
"C_BULK?","100uF","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm",""
"C_CANV1","100nF","Capacitor_SMD:C_0805_2012Metric",""
"C_CANV2","1uF","Capacitor_SMD:C_1206_3216Metric",""
"C_LINF1","1nF","Capacitor_SMD:C_0805_2012Metric",""
"C_LINF2","1nF","Capacitor_SMD:C_0805_2012Metric",""
"C_REGIN1","100nF","Capacitor_SMD:C_0805_2012Metric",""
"C_REGIN2","10uF","Capacitor_SMD:C_1206_3216Metric",""
"C_REGOUT1","100nF","Capacitor_SMD:C_0805_2012Metric",""
"C_REGOUT2","10uF","Capacitor_SMD:C_1206_3216Metric",""
"C_WAKE1","220pF","Capacitor_SMD:C_0805_2012Metric",""
"C_WAKE2","220pF","Capacitor_SMD:C_0805_2012Metric",""
"D2","SS34","Diode_SMD:D_SMA",""
"D3","SMAJ26A","Diode_SMD:D_SMA",""
"D4","1N4148","Diode_SMD:D_SOD-123",""
"D5","1N4148","Diode_SMD:D_SOD-123",""
"D_Z1","BZX84C3V6","Package_TO_SOT_SMD:SOT-23",""
"J1","MX23A12NF1","AirLift_Custom:MX23A12NF1_2x6_P2.50mm_RA",""
"JP1","LIN1_MASTER","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"JP2","LIN2_MASTER","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"JP3","R_TERM1","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"J_DEVKIT_L?","ESP32_DevKit_L","Connector_PinSocket_2.54mm:PinSocket_1x15_P2.54mm_Vertical",""
"J_DEVKIT_R?","ESP32_DevKit_R","Connector_PinSocket_2.54mm:PinSocket_1x15_P2.54mm_Vertical",""
"Q1","IRF4905","Package_TO_SOT_THT:TO-220-3_Vertical",""
"Q2","MMBT3904","Package_TO_SOT_SMD:SOT-23",""
"Q_REV?","IRF4905","Package_TO_SOT_THT:TO-220-3_Vertical",""
"R1","1k","Resistor_SMD:R_0805_2012Metric",""
"R2","4.7k","Resistor_SMD:R_0805_2012Metric",""
"R3","10k","Resistor_SMD:R_0805_2012Metric",""
"R4","4.7k","Resistor_SMD:R_0805_2012Metric",""
"R6","1k","Resistor_SMD:R_0805_2012Metric",""
"R7","1k","Resistor_SMD:R_0805_2012Metric",""
"R8","120","Resistor_SMD:R_0805_2012Metric",""
"R9","10k","Resistor_SMD:R_0805_2012Metric",""
"R10","3.3k","Resistor_SMD:R_0805_2012Metric",""
"R_REV?","10k","Resistor_SMD:R_0805_2012Metric",""
"R_RXD1","10k","Resistor_SMD:R_0805_2012Metric",""
"R_RXD2","10k","Resistor_SMD:R_0805_2012Metric",""
"U_33","AMS1117-3.3","Package_TO_SOT_SMD:SOT-223-3_TabPin2",""
"U_CAN?","SN65HVD230","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm",""
"U_LIN1","TJA1020","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm",""
"U_LIN2","TJA1020","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm",""
"U_OPTO?","PC817","Package_SO:SO-4_7.6x3.6mm_P2.54mm",""
"U_REG?","L7805","Package_TO_SOT_THT:TO-220-3_Vertical",""
