Ref,Val,Package,PosX,PosY,Rot,Side
"C16","100nF","C_0805_2012Metric",118.941200,-34.044700,0.000000,top
"C_33IN","100nF","C_0805_2012Metric",23.315500,-70.144700,0.000000,top
"C_33OUT1","100nF","C_0805_2012Metric",11.315500,-76.144700,0.000000,top
"C_33OUT2","10uF","C_1206_3216Metric",23.315500,-76.144700,0.000000,top
"C_BAT1A","10uF","C_1206_3216Metric",86.596000,-16.248200,0.000000,top
"C_BAT1B","100nF","C_0805_2012Metric",95.596000,-16.248200,0.000000,top
"C_BAT2A","10uF","C_1206_3216Metric",86.596000,-56.764700,0.000000,top
"C_BAT2B","100nF","C_0805_2012Metric",95.596000,-56.764700,0.000000,top
"C_BULK","100uF","CP_Radial_D8.0mm_P3.50mm",11.315500,-44.144700,0.000000,top
"C_CANV1","100nF","C_0805_2012Metric",95.596000,-91.281200,0.000000,top
"C_CANV2","1uF","C_1206_3216Metric",86.596000,-97.281200,0.000000,top
"C_LINF1","1nF","C_0805_2012Metric",86.596000,-22.248200,0.000000,top
"C_LINF2","1nF","C_0805_2012Metric",86.596000,-62.764700,0.000000,top
"C_REGIN1","100nF","C_0805_2012Metric",11.315500,-58.144700,0.000000,top
"C_REGIN2","10uF","C_1206_3216Metric",23.315500,-58.144700,0.000000,top
"C_REGOUT1","100nF","C_0805_2012Metric",11.315500,-64.144700,0.000000,top
"C_REGOUT2","10uF","C_1206_3216Metric",23.315500,-64.144700,0.000000,top
"C_WAKE1","220pF","C_0805_2012Metric",95.596000,-22.248200,0.000000,top
"C_WAKE2","220pF","C_0805_2012Metric",95.596000,-62.764700,0.000000,top
"D2","SS34","D_SMA",9.570000,-102.291200,0.000000,top
"D3","SMAJ26A","D_SMA",120.405500,-15.598200,0.000000,top
"D4","1N4148","D_SOD-123",95.596000,-28.248200,0.000000,top
"D5","1N4148","D_SOD-123",95.596000,-68.764700,0.000000,top
"D_Z1","BZX84C3V6","SOT-23",109.941200,-34.044700,0.000000,top
"J1","MX23A12NF1","MX23A12NF1_2x6_P2.50mm_RA",22.060000,-13.848200,0.000000,top
"JP1","LIN1_MASTER","PinHeader_1x02_P2.54mm_Vertical",86.596000,-34.248200,0.000000,top
"JP2","LIN2_MASTER","PinHeader_1x02_P2.54mm_Vertical",86.596000,-74.764700,0.000000,top
"JP3","R_TERM1","PinHeader_1x02_P2.54mm_Vertical",86.596000,-103.281200,0.000000,top
"J_DEVKIT_L","ESP32_DevKit_L","PinSocket_1x15_P2.54mm_Vertical",43.636400,-9.618200,0.000000,top
"J_DEVKIT_R","ESP32_DevKit_R","PinSocket_1x15_P2.54mm_Vertical",69.036400,-9.618200,0.000000,top
"Q1","IRF4905","TO-220-3_Vertical",9.570000,-90.291200,0.000000,top
"Q2","MMBT3904","SOT-23",21.570000,-90.291200,0.000000,top
"Q_REV","IRF4905","TO-220-3_Vertical",11.315500,-38.144700,0.000000,top
"R1","1k","R_0805_2012Metric",120.405500,-9.598200,0.000000,top
"R2","4.7k","R_0805_2012Metric",111.405500,-15.598200,0.000000,top
"R3","10k","R_0805_2012Metric",9.570000,-96.291200,0.000000,top
"R4","4.7k","R_0805_2012Metric",21.570000,-96.291200,0.000000,top
"R6","1k","R_0805_2012Metric",86.596000,-28.248200,0.000000,top
"R7","1k","R_0805_2012Metric",86.596000,-68.764700,0.000000,top
"R8","120","R_0805_2012Metric",95.596000,-97.281200,0.000000,top
"R9","10k","R_0805_2012Metric",109.941200,-28.044700,0.000000,top
"R10","3.3k","R_0805_2012Metric",118.941200,-28.044700,0.000000,top
"R_REV","10k","R_0805_2012Metric",23.315500,-38.144700,0.000000,top
"R_RXD1","10k","R_0805_2012Metric",95.596000,-10.248200,0.000000,top
"R_RXD2","10k","R_0805_2012Metric",95.596000,-50.764700,0.000000,top
"U_33","AMS1117-3.3","SOT-223-3_TabPin2",11.315500,-70.144700,0.000000,top
"U_CAN","SN65HVD230","SOIC-8_3.9x4.9mm_P1.27mm",86.596000,-91.281200,0.000000,top
"U_LIN1","TJA1020","SOIC-8_3.9x4.9mm_P1.27mm",86.596000,-10.248200,0.000000,top
"U_LIN2","TJA1020","SOIC-8_3.9x4.9mm_P1.27mm",86.596000,-50.764700,0.000000,top
"U_OPTO","PC817","SO-4_7.6x3.6mm_P2.54mm",111.405500,-9.598200,0.000000,top
"U_REG","L7805","TO-220-3_Vertical",23.315500,-44.144700,0.000000,top
